Підінтегральна функція y = e^-x + 1
Проміжок [-2.10100000, 3.01000000]
Точне значення інтегралу на проміжку: 13.23604849
n = 10	13.14828220  0.08776629
n = 15	13.19687652  0.03917196
n = 20	13.21398166  0.02206683
n = 25	13.22191604  0.01413244
n = 30	13.22623064  0.00981785
n = 35	13.22883375  0.00721473
n = 40	13.23052390  0.00552459
n = 45	13.23168295  0.00436554
n = 50	13.23251215  0.00353634
n = 55	13.23312574  0.00292275
n = 60	13.23359247  0.00245602
n = 65	13.23395572  0.00209277
n = 70	13.23424396  0.00180452
n = 75	13.23447651  0.00157197
n = 80	13.23466685  0.00138164
n = 85	13.23482460  0.00122389
n = 90	13.23495679  0.00109169
n = 95	13.23506868  0.00097981
n = 100	13.23516420  0.00088429
